target_name,target_family,exists_in_ledger,ledger_model_id,ledger_location,current_final_state,current_license_status,code_license,weights_license,commercial_safe,redistribution_allowed,gated_or_auth_required,core_allowed,action,exact_next_command,v3_gate_impact,notes
classic-slic-graphcut,A_classic_no_weight,False,,absent,,,BSD-3-Clause (skimage SLIC) + GPL-3.0 (PyMaxflow) — BK maxflow algorithm is research/non-commercial,n/a (no weights),conditional,no,no,legal_review_required,benchmarked_classic_tool,see smart_tool_coverage_ledger.csv (CPU benchmark already run),V3-13 supported,"LANDMINE. SLIC superpixels (skimage, BSD-3) are fine, but the graph-cut step via PyMaxflow pulls a GPL-3.0 dependency AND the wrapped Boykov-Kolmogorov maxflow is licensed research/non-commercial only (paid UCLB license for commercial use). Double blocker for a commercial-safe Apache-2.0 package. AL"
classic-random-walker,A_classic_no_weight,False,,absent,,,"BSD-3-Clause (skimage.segmentation.random_walker; scipy BSD-3, optional pyamg MIT)",n/a (no weights),yes,yes,no,yes,benchmarked_classic_tool,see smart_tool_coverage_ledger.csv (CPU benchmark already run),V3-13 supported,"Random-walker segmentation. All deps permissive (BSD/MIT). Optional pyamg multigrid solver is MIT. No weights, no GPL. Commercial-safe."
classic-intelligent-scissors,A_classic_no_weight,False,,absent,,,"Apache-2.0 (OpenCV cv2.segmentation.IntelligentScissorsMB, >=4.5)",n/a (no weights),yes,yes,no,yes,benchmarked_classic_tool,see smart_tool_coverage_ledger.csv (CPU benchmark already run),V3-13 supported,"Live-Wire / Intelligent Scissors. Shipped in OpenCV core (not contrib/nonfree) under Apache-2.0. The original Mortensen-Barrett livewire patent (US 5,995,115, filed 1997) is expired, and OpenCV distributes the implementation freely. No weights, no GPL. Commercial-safe."
classic-grabcut,A_classic_no_weight,False,,absent,,,Apache-2.0 (OpenCV >=4.5; cv2.grabCut),n/a (no weights),yes,yes,no,yes,benchmarked_classic_tool,see smart_tool_coverage_ledger.csv (CPU benchmark already run),V3-13 supported,"Pure algorithm, no checkpoint. cv2.grabCut uses OpenCV's OWN internal min-cut/max-flow (gcgraph.hpp), NOT PyMaxflow, so no GPL is pulled in. GrabCut had a historical Microsoft patent but OpenCV ships it under Apache-2.0 and it is widely used commercially. Commercial-safe."
classic-marker-watershed,A_classic_no_weight,False,,absent,,,Apache-2.0 (OpenCV cv2.watershed) / BSD-3-Clause (skimage.segmentation.watershed),n/a (no weights),yes,yes,no,yes,benchmarked_classic_tool,see smart_tool_coverage_ledger.csv (CPU benchmark already run),V3-13 supported,"Marker-controlled watershed. Either backend (OpenCV or skimage) is permissive. No weights, no GPL. Commercial-safe."
classic-interactive-rf,A_classic_no_weight,False,,absent,,,BSD-3-Clause (scikit-learn RandomForest; optional skimage features BSD-3),n/a (no weights),yes,yes,no,yes,benchmarked_classic_tool,see smart_tool_coverage_ledger.csv (CPU benchmark already run),V3-13 supported,"Interactive per-pixel RandomForest classifier trained on user scribbles at runtime (model fit on the fly, no pretrained checkpoint shipped). All deps permissive BSD-3. Commercial-safe."
classic-slic-rf-smooth,A_classic_no_weight,False,,absent,,,BSD-3-Clause (skimage SLIC + scikit-learn RandomForest),n/a (no weights),yes,yes,no,yes,benchmarked_classic_tool,see smart_tool_coverage_ledger.csv (CPU benchmark already run),V3-13 supported,"SLIC superpixels + RandomForest with smoothing. Unlike slic-graphcut, this variant uses sklearn (BSD-3) not PyMaxflow, so NO GPL. If a graph-cut/CRF smoothing step is later added, ensure it uses a permissive maxflow (scipy/networkx), not PyMaxflow/gco. As described: commercial-safe."
classic-edge-plus,A_classic_no_weight,False,,absent,,,Apache-2.0 (OpenCV Canny/Sobel/Scharr) / BSD-3-Clause (skimage filters),n/a (no weights),yes,yes,no,yes,benchmarked_classic_tool,see smart_tool_coverage_ledger.csv (CPU benchmark already run),V3-13 supported,"Classic edge operators (Canny/Sobel/Scharr/Laplacian) are permissive in both backends; no weights. CAVEAT: if 'edge-plus' instead uses OpenCV-contrib ximgproc StructuredEdgeDetection (Dollar's Structured Forests), that model file historically carried a non-commercial research license and would need "
sam-vit-b,B_promptable_sam,True,sam-vit-base,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 1 (Meta, Apr 2023). Code+weights both Apache-2.0; openly downloadable, not gated. Trained on SA-1B which is a research-only dataset, but Meta released the trained checkpoints under Apache-2.0 -> commercial use permitted. ViT-B backbone."
sam-vit-l,B_promptable_sam,True,sam-vit-large,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 1 ViT-L. Same licensing as sam-vit-b: Apache-2.0 code+weights, ungated, commercial OK. SA-1B training data is research-only but the released weights are Apache-2.0."
sam-vit-h,B_promptable_sam,True,sam-vit-huge,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 1 ViT-H (largest, sam_vit_h_4b8939.pth). Apache-2.0 code+weights, ungated, commercial OK. Research-only SA-1B dataset does not restrict the Apache-2.0 weights."
sam2-hiera-tiny,B_promptable_sam,True,sam2-hiera-tiny,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 2 (Meta, Jul 2024). Checkpoints, demo code and training code are Apache-2.0. NOT a separate 'SAM 2 License' and not Llama-style; only the eval code is BSD-3. SA-V video training data is research/CC BY 4.0 but weights are Apache-2.0 -> commercial OK. Ungated. Hiera-T backbone."
sam2-hiera-small,B_promptable_sam,True,sam2-hiera-small,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 2 Hiera-S. Apache-2.0 code+weights, ungated, commercial OK. Eval code BSD-3 only; SA-V dataset research-only does not encumber the Apache-2.0 weights."
sam2-hiera-base-plus,B_promptable_sam,True,sam2-hiera-base-plus,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 2 Hiera-B+ (base-plus). Apache-2.0 code+weights, ungated, commercial OK. Same SAM 2 licensing as the other sizes."
sam2-hiera-large,B_promptable_sam,True,sam2-hiera-large,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 2 Hiera-L (largest). HF model card explicitly apache-2.0. Code+weights Apache-2.0, ungated, commercial OK. Eval code BSD-3 only."
sam2.1-hiera-tiny,B_promptable_sam,True,sam2.1-hiera-tiny,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 2.1 (improved Meta checkpoints, late 2024) served from the same facebookresearch/sam2 repo. Checkpoints + training code Apache-2.0, ungated, commercial OK. No separate license for 2.1 weights vs 2.0. Hiera-T."
sam2.1-hiera-small,B_promptable_sam,True,sam2.1-hiera-small,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 2.1 Hiera-S. Apache-2.0 code+weights, ungated, commercial OK. Same SAM 2.1 licensing as the other sizes."
sam2.1-hiera-base-plus,B_promptable_sam,True,sam2.1-hiera-base-plus,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 2.1 Hiera-B+ (base-plus). Apache-2.0 code+weights, ungated, commercial OK."
sam2.1-hiera-large,B_promptable_sam,True,sam2.1-hiera-large,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 2.1 Hiera-L (largest, best quality). HF card explicitly apache-2.0. Code+weights Apache-2.0, ungated, commercial OK. Also offered commercially via AWS SageMaker JumpStart, confirming commercial intent. Eval code BSD-3 only."
mobilesam,B_promptable_sam,True,mobilesam,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"MobileSAM = TinyViT image encoder distilled from SAM + original SAM mask decoder. Both code and released checkpoint are Apache-2.0, openly downloadable from GitHub releases (not gated). Encoder distilled on a ~1% SA-1B subset; SA-1B itself is a research-license dataset, but Meta/authors released the"
efficientsam,B_promptable_sam,True,efficientsam,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"Meta (Yunyang Xiong et al.). Repo LICENSE confirmed Apache-2.0; vit-tiny / vit-small checkpoints released Apache-2.0, not gated. SAMI pretraining leveraged ImageNet (MAE) + SA-1B (research dataset), but Meta released weights under Apache-2.0. Commercial-safe."
hq-sam,B_promptable_sam,True,hq-sam,core_ledger,legal_review_required,Apache-2.0 (weights); HQSeg-44K training data partly non-commercial,Apache-2.0,Apache-2.0 (declared) but trained on NON-COMMERCIAL data (HQSeg-44K),conditional,yes,no,legal_review_required,legal_review_required,hold from default-safe core pending legal review,V3-07/V3-08 risk,"LANDMINE (training data). Code Apache-2.0 and base SAM Apache-2.0. The HQ-output-token weights are fine-tuned on HQSeg-44K, which aggregates explicitly NON-COMMERCIAL datasets: DIS5K (research/educational-only ToU), ThinObject-5K (CC-BY-NC-4.0), plus academic saliency sets (ECSSD, MSRA-10K, DUT-OMRO"
hq-sam2,B_promptable_sam,False,,absent,,,Apache-2.0,Apache-2.0 (declared; SAM2 base Apache-2.0) but HQ token trained on NON-COMMERCIAL HQSeg-44K,conditional,yes,no,legal_review_required,legal_review_required,hold from default-safe core pending legal review,V3-07/V3-08 risk,LANDMINE (training data). HQ-SAM2 = HQ token on top of Meta SAM 2 (SAM2 code and checkpoints Apache-2.0). HQ components trained on HQSeg-44K (DIS5K non-commercial + ThinObject-5K CC-BY-NC-4.0). Same non-commercial training-data encumbrance as hq-sam => commercial use requires legal review. Not gated
light-hq-sam,B_promptable_sam,False,,absent,,,Apache-2.0,Apache-2.0 (declared) but HQ token trained on NON-COMMERCIAL HQSeg-44K,conditional,yes,no,legal_review_required,legal_review_required,hold from default-safe core pending legal review,V3-07/V3-08 risk,"LANDMINE (training data). Lightweight HQ-SAM = HQ-output token on the MobileSAM TinyViT backbone, shipped inside SysCV/sam-hq (Apache-2.0). Backbone (MobileSAM) is commercial-safe, but the HQ token is trained on HQSeg-44K (DIS5K non-commercial + ThinObject-5K CC-BY-NC-4.0), so the trained HQ weights"
tinysam,B_promptable_sam,False,,absent,,,Apache-2.0,Apache-2.0,yes,yes,no,yes,addable_commercial_safe,add to registry + benchmark (tinysam),V3-12 add,Huawei Noah's Ark Lab. REPO LICENSE = Apache-2.0. Distilled checkpoints: HF 'xinghaochen/tinysam' is tagged apache-2.0 and is NOT access-gated; the distilled checkpoints carry NO additional restriction beyond Apache-2.0. Full-stage knowledge distillation from SAM on an SA-1B subset (SA-1B is a resea
q-tinysam,B_promptable_sam,False,,absent,,,Apache-2.0,Apache-2.0,yes,yes,no,yes,addable_commercial_safe,add to registry + benchmark (q-tinysam),V3-12 add,Post-training-quantized (INT8) variant of TinySAM. HF 'xinghaochen/Q-TinySAM' card states apache-2.0 and is NOT gated; same Apache-2.0 repo. The quantized checkpoints carry no extra restriction beyond Apache-2.0. Commercial-safe.
edgesam,B_promptable_sam,True,edgesam,external_restricted_baselines,external_restricted_baseline,S-Lab License 1.0 (non-commercial),NTU S-Lab License 1.0 (NON-COMMERCIAL / research-only),NTU S-Lab License 1.0 (NON-COMMERCIAL / research-only),no,no,no,external_baseline_only,quarantined_noncommercial,external_restricted_baselines.csv (S-Lab NC),V3-07 corrected,"PRIMARY LANDMINE. EdgeSAM (S-Lab, NTU; chongzhou96) is licensed under NTU S-Lab License 1.0, which is NON-COMMERCIAL / research-only: it permits redistribution and use ONLY for non-commercial purposes and requires contacting the authors for any commercial use. This applies to BOTH the code and the e"
ritm,C_interactive_click,False,,absent,,,MIT,Unspecified (no explicit checkpoint license); checkpoints trained on SBD and COCO+LVIS,conditional,unknown,no,legal_review_required,legal_review_required,hold from default-safe core pending legal review,V3-07/V3-08 risk,"Code is clean MIT. Commercial risk is on the WEIGHTS, not code: checkpoints trained on COCO+LVIS (images under Flickr terms; annotations CC BY 4.0) and SBD (derived from PASCAL VOC, Flickr-sourced) — no explicit commercial grant on the resulting weights. Checkpoints are downloadable (not user-suppli"
focalclick,C_interactive_click,False,,absent,,,MIT,Unspecified for checkpoints; best variants use SegFormer/MiT backbone under NVIDIA non-commercial source-code license,conditional,unknown,no,legal_review_required,legal_review_required,hold from default-safe core pending legal review,V3-07/V3-08 risk,"Code MIT. Two weight landmines: (1) training data COCO+LVIS/SBD provenance (Flickr-terms images); (2) the high-accuracy SegFormer/MiT backbone is ImageNet-pretrained under NVIDIA's non-commercial research license, so those checkpoints likely carry an NC restriction — HRNet-18 variants avoid this. Do"
clickseg,C_interactive_click,False,,absent,,,MIT,Unspecified for checkpoints; mixed backbones (HRNet permissive; SegFormer/MiT non-commercial),conditional,unknown,no,legal_review_required,legal_review_required,hold from default-safe core pending legal review,V3-07/V3-08 risk,Toolbox/codebase rather than a single model. Code MIT (confirmed). Same dual weight concern as FocalClick: COCO+LVIS/SBD training-data terms plus the SegFormer/MiT backbone NVIDIA non-commercial license on the transformer variants; CDNet/HRNet variants are backbone-clean but still inherit dataset pr
simpleclick,C_interactive_click,False,,absent,,,MIT,Effectively non-commercial: checkpoints initialized from Facebook MAE ViT weights (CC BY-NC 4.0),no,no,no,external_baseline_only,review_or_missing,audit + classify before add,V3-12 pending,"Decisive landmine: MAE pretrained ViT backbones (facebookresearch/mae) are CC BY-NC 4.0 (non-commercial) — confirmed. SimpleClick checkpoints are derivatives of those NC weights, so the published weights are non-commercial regardless of the MIT code, and also carry COCO+LVIS dataset terms. Per rule "
rfdetr-seg-nano,D_autolabel_grounded,True,rfdetr-seg-nano,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,Verified Apache-2.0 + ungated via HF API. Trained/fine-tuned on COCO (standard COCO image-license caveat applies but weights released Apache-2.0). Smaller seg tier — fully commercial-safe and redistributable.
rfdetr-seg-small,D_autolabel_grounded,True,rfdetr-seg-small,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"Verified Apache-2.0 + ungated via HF API. COCO-pretrained. Commercial use, mirroring and fine-tuning all permitted."
rfdetr-seg-medium,D_autolabel_grounded,True,rfdetr-seg-medium,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,Verified Apache-2.0 + ungated. COCO-pretrained. Commercial-safe and redistributable.
rfdetr-seg-large,D_autolabel_grounded,True,rfdetr-seg-large,core_ledger,benchmark_passed,PML 1.0 (Plus/XL/2XL); core sizes Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"Verified Apache-2.0 + ungated via HF API. IMPORTANT distinction: for DETECTION, sizes Nano..Large are Apache but XL/2XL (rfdetr[plus], DINOv3) are PML-1.0; the SEGMENTATION 'large' checkpoint is plain Apache-2.0. Commercial-safe, redistributable."
grounding-dino-swin-b,D_autolabel_grounded,True,grounding-dino-swin-b,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,Open-vocab detector. Code + weights both Apache-2.0 and ungated. Swin-B (cogcoor) was pretrained on a research dataset mix (COCO/Objects365/GoldG/Cap4M/OpenImages/RefCOCO); IDEA nonetheless released the weights under Apache-2.0 and the model is broadly used commercially. Mirroring/bundling permitted
grounding-dino-swin-t,D_autolabel_grounded,True,grounding-dino-swin-t,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"Swin-T 'OGC' checkpoint (groundingdino_swint_ogc). Apache-2.0 code + weights, ungated. Pretrained on Objects365/GoldG/Cap4M; released Apache-2.0 by IDEA. Commercial use and redistribution OK."
grounding-dino-tiny,D_autolabel_grounded,True,grounding-dino-tiny,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"Alias of the HF transformers Swin-T checkpoint (same as grounding-dino-swin-t). Apache-2.0, ungated, freely redistributable. Commercial-safe."
grounding-dino-original-swin-b,D_autolabel_grounded,True,grounding-dino-original-swin-b,core_ledger,benchmark_passed,,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,Original (non-HF-transformers) IDEA checkpoint groundingdino_swinb_cogcoor.pth. Same Apache-2.0 weights release and same research-dataset training mix as grounding-dino-swin-b. Ungated; bundling permitted.
grounding-dino-original-swin-t,D_autolabel_grounded,True,grounding-dino-original-swin-t,core_ledger,benchmark_passed,,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"Original IDEA checkpoint groundingdino_swint_ogc.pth (Swin-T). Apache-2.0 code + weights, ungated. Commercial use and redistribution OK."
sam3-base,E_gated_auth_api,True,sam3-base,core_ledger,auth_required,Apache-2.0,"SAM License (Meta custom, updated 2025-11-19)","SAM License (Meta custom, updated 2025-11-19)",conditional,no,yes,gated_byot_only,gated_byot,visionservex auth/sam3 BYOT; no mirrored weights,V3-09 BYOT,"Access mechanism = Hugging Face gated access request: user must agree to share contact info (name, DOB, country, affiliation, job title) and be approved by Meta, then authenticate to download. Terms name = 'SAM License' (Meta custom, NOT Apache-2.0; SAM/SAM2 were Apache but SAM 3 changed to this cus"
grounding-dino-1.5,E_gated_auth_api,True,grounding-dino-1.5,core_ledger,auth_required,Apache-2.0,Apache-2.0 (API client wrapper only),Proprietary / closed (not published; DeepDataSpace API ToS),conditional,no,yes,gated_byot_only,gated_byot,visionservex auth/sam3 BYOT; no mirrored weights,V3-09 BYOT,"Access mechanism = API key (DeepDataSpace cloud): apply for API token at cloud.deepdataspace.com/apply-token, paid quota via the dashboard (WeChat Pay). Terms name = DeepDataSpace / IDEA Research API Terms of Service. CODE-vs-WEIGHTS landmine: only the thin Python API-client wrapper is Apache-2.0; t"
grounding-dino-1.6,E_gated_auth_api,True,grounding-dino-1.6,core_ledger,auth_required,Apache-2.0,Apache-2.0 (API client wrapper only),Proprietary / closed (not published; DeepDataSpace API ToS),conditional,no,yes,gated_byot_only,gated_byot,visionservex auth/sam3 BYOT; no mirrored weights,V3-09 BYOT,"Access mechanism = API key (DeepDataSpace cloud), same apply-token flow and paid quota as 1.5. Terms name = DeepDataSpace / IDEA Research API ToS. Weights not released; only Apache-2.0 client code exists. Commercial use only via paid API under provider ToS -> 'conditional'; nothing downloadable to r"
grounding-dino-1.5-pro,E_gated_auth_api,True,grounding-dino-1.5-pro,core_ledger,external_api_only,Custom,Apache-2.0 (API client wrapper only),Proprietary / closed (not published; DeepDataSpace API ToS),conditional,no,yes,gated_byot_only,gated_byot,visionservex auth/sam3 BYOT; no mirrored weights,V3-09 BYOT,"Access mechanism = API key (DeepDataSpace cloud): README explicitly states the Pro model is 'only accessible via API', not downloadable. Apply token at cloud.deepdataspace.com/apply-token; paid quota via dashboard. Terms name = DeepDataSpace / IDEA Research API ToS. CODE-vs-WEIGHTS: Apache-2.0 appli"
grounding-dino-1.6-pro,E_gated_auth_api,True,grounding-dino-1.6-pro,core_ledger,external_api_only,Custom,Apache-2.0 (API client wrapper only),Proprietary / closed (not published; DeepDataSpace API ToS),conditional,no,yes,gated_byot_only,gated_byot,visionservex auth/sam3 BYOT; no mirrored weights,V3-09 BYOT,"Access mechanism = API key (DeepDataSpace cloud): flagship 1.6 Pro is API-only/closed, not downloadable. Apply token at cloud.deepdataspace.com/apply-token; paid quota (WeChat Pay). Terms name = DeepDataSpace / IDEA Research API ToS. Only the Apache-2.0 client wrapper is open; the Pro weights are pr"
dino-x-api,E_gated_auth_api,True,dino-x-api,core_ledger,external_api_only,Custom,Apache-2.0 (API client wrapper only),Proprietary / closed (not published; DeepDataSpace API ToS),conditional,no,yes,gated_byot_only,gated_byot,visionservex auth/sam3 BYOT; no mirrored weights,V3-09 BYOT,"Access mechanism = API key (DeepDataSpace cloud): DINO-X is API-only; the README confirms weights are NOT available for direct download. Apply for an API token at cloud.deepdataspace.com/apply-token (free starter quota, then paid via dashboard/WeChat Pay). Terms name = DeepDataSpace / IDEA Research "
fastsam-s,F_excluded_restricted,True,fastsam-s,external_restricted_baselines,external_restricted_baseline,AGPL-3.0,AGPL-3.0,AGPL-3.0,no,no,no,external_baseline_only,excluded_restricted,external_restricted_baselines.csv / excluded_noncommercial_models.csv,V3-07 satisfied,"Fast Segment Anything (CASIA-IVA-Lab), built on Ultralytics YOLOv8 backbone -> AGPL-3.0 contaminates both code and weights. No commercial license offered. Copyleft poison-pill: bundling weights would force AGPL on whole package, so do not mirror. Project already flags DO_NOT_ADD. Keep external basel"
fastsam-x,F_excluded_restricted,True,fastsam-x,external_restricted_baselines,external_restricted_baseline,AGPL-3.0,AGPL-3.0,AGPL-3.0,no,no,no,external_baseline_only,excluded_restricted,external_restricted_baselines.csv / excluded_noncommercial_models.csv,V3-07 satisfied,"Larger FastSAM variant, same AGPL-3.0 code+weights as fastsam-s. AGPL copyleft, no commercial offering. Excluded from permissive/commercial-safe core; external baseline only."
ultralytics-yolov8-seg,F_excluded_restricted,False,,absent,,,AGPL-3.0,AGPL-3.0,conditional,no,no,external_baseline_only,excluded_restricted,external_restricted_baselines.csv / excluded_noncommercial_models.csv,V3-07 satisfied,"All Ultralytics YOLO trained models are AGPL-3.0 by default. Commercial closed-source use requires a paid Ultralytics Enterprise License (hence 'conditional', NOT free). Under AGPL alone, integrating into a commercial package forces full source disclosure. Cannot mirror/bundle into permissive core; "
ultralytics-yolo11-seg,F_excluded_restricted,False,,absent,,,AGPL-3.0,AGPL-3.0,conditional,no,no,external_baseline_only,excluded_restricted,external_restricted_baselines.csv / excluded_noncommercial_models.csv,V3-07 satisfied,YOLO11 segmentation weights AGPL-3.0; commercial use only via Ultralytics Enterprise License. Same copyleft constraint as YOLOv8-seg. Exclude from commercial-safe core; external baseline only.
ultralytics-yolo26-seg,F_excluded_restricted,False,,absent,,,AGPL-3.0,AGPL-3.0,conditional,no,no,external_baseline_only,excluded_restricted,external_restricted_baselines.csv / excluded_noncommercial_models.csv,V3-07 satisfied,"Newest Ultralytics generation (2025/2026), confirmed AGPL-3.0 on HF Ultralytics/YOLO26. Enterprise License required for closed-source commercial use. Treat identically to YOLOv8/YOLO11 seg: external baseline only, no bundling."
yolo-world,F_excluded_restricted,True,yolo-world,external_restricted_baselines,external_restricted_baseline,AGPL-3.0,GPL-3.0 (Tencent original) / AGPL-3.0 (Ultralytics integration),GPL-3.0,conditional,no,no,external_baseline_only,excluded_restricted,external_restricted_baselines.csv / excluded_noncommercial_models.csv,V3-07 satisfied,Open-vocabulary detector. Original Tencent repo is GPL-3.0 (README informally says 'supported for commercial usage' but GPL copyleft obligations still apply); Ultralytics path is AGPL-3.0. Either way strong copyleft -> commercial use only via separate licensing/source disclosure ('conditional'). Pre
libreyolo-yolonas,F_excluded_restricted,False,,absent,,,Apache-2.0 (super-gradients),Deci custom NON-COMMERCIAL (pretrained-weights license),no,no,no,external_baseline_only,excluded_restricted,external_restricted_baselines.csv / excluded_noncommercial_models.csv,V3-07 satisfied,"Classic CODE-vs-WEIGHTS split: super-gradients library is Apache-2.0, but the YOLO-NAS pretrained checkpoints (AutoNAC-generated) carry Deci's restrictive non-commercial license. So even though code is permissive, the published weights forbid commercial use -> commercial_use_allowed=no and cannot be"
totalsegmentator,F_excluded_restricted,True,totalsegmentator,external_restricted_baselines,external_restricted_baseline,Custom-NonCommercial,Apache-2.0,"Mixed: Apache-2.0 (default 'total' task) / NON-COMMERCIAL (high-res, tissue_types, heartchambers_highres, face, appendicular_bones)",conditional,no,no,external_baseline_only,excluded_restricted,external_restricted_baselines.csv / excluded_noncommercial_models.csv,V3-07 satisfied,"Nuanced: base 'total' (117 classes) model+code ARE Apache-2.0 and commercially usable. But the high-resolution and several specialized subtask models are explicitly non-commercial (license/commercial-license required), which is the audited landmine ('high-res NC'). Because the package treats this as"
rfdetr-seg-xlarge,F_excluded_restricted,True,rfdetr-seg-xlarge,external_restricted_baselines,external_restricted_baseline,PML-1.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,excluded_restricted,external_restricted_baselines.csv / excluded_noncommercial_models.csv,V3-07 satisfied,"Task brief assumed XL=PML-1.0, but that applies to the DETECTION rf-detr_plus models (RF-DETR-XL/2XL, DINOv3 backbone, account-gated PML-1.0 — see github.com/roboflow/rf-detr_plus). The SEGMENTATION xlarge checkpoint is released Apache-2.0 and ungated per HF metadata. Confidence kept medium because "
rfdetr-seg-2xlarge,F_excluded_restricted,True,rfdetr-seg-2xlarge,external_restricted_baselines,external_restricted_baseline,PML-1.0,Apache-2.0,unknown (blog claims Apache-2.0; HF repo returns HTTP 401 / auth-restricted — unverifiable),conditional,unknown,yes,legal_review_required,excluded_restricted,external_restricted_baselines.csv / excluded_noncommercial_models.csv,V3-07 satisfied,"Could NOT verify: the 2xlarge seg repo returns a consistent 401 (appears private/auth-restricted or not yet publicly released at audit time), which contradicts the blog's blanket Apache-2.0 claim and parallels the PML-1.0 detection-2XL (DINOv3, account-gated). Per commercial-safe policy this is unre"
